,player_id,name_common,year_id,age,pos,team_id,tmRtg,G,Min,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,2P%,3P%,FT%,3PAr,FTAr
9408,garneke01,Kevin Garnett,2003,26,PF,MIN,2.2,82,3321,40.5,22.2,55.3,5.8,13.0,2.9,2.7,5.1,4.0,9.1,19.9,20.0,20.9,26.4,51.3,28.2,75.1,4.8,33.9
18605,johnsma02,Magic Johnson,1981,21,SG,LAL,3.7,37,1371,37.1,20.4,58.2,8.1,8.2,3.9,3.7,5.5,3.6,9.0,8.2,18.5,21.5,24.3,54.2,17.6,76.0,2.9,38.3
7040,ginobma01,Manu Ginobili,2008,30,SG,SAS,5.4,74,2299,31.1,25.4,61.2,5.9,6.2,2.5,3.5,5.9,3.1,9.0,13.8,17.0,19.0,28.7,49.9,40.1,86.0,39.5,44.9
2543,paulch01,Chris Paul,2016,30,PG,LAC,4.4,74,2420,32.7,22.5,57.5,11.5,4.8,2.6,3.0,7.5,1.6,9.0,14.6,18.9,20.0,27.1,50.1,37.1,89.6,29.5,29.4
15454,barklch01,Charles Barkley,1990,26,PF,PHI,5.1,79,3085,39.1,24.0,66.1,3.7,11.0,2.4,2.9,7.6,1.4,9.0,18.5,17.6,20.9,24.0,63.2,21.7,74.9,7.8,63.2
16366,birdla01,Larry Bird,1987,30,SF,BOS,6.7,74,3005,40.6,25.2,61.2,6.9,8.3,2.5,2.9,7.0,2.0,9.0,17.9,19.0,19.9,27.5,54.7,40.0,91.0,15.0,30.4
5808,wadedw01,Dwyane Wade,2010,28,SG,MIA,2.5,77,2792,36.3,29.4,56.2,7.2,5.4,3.2,3.6,7.1,1.8,8.9,16.6,19.0,20.3,34.9,50.9,30.0,76.1,16.1,46.5
3372,leonaka01,Kawhi Leonard,2015,23,SF,SAS,6.5,64,2033,31.8,20.0,56.7,3.0,8.7,3.7,1.8,3.7,5.2,8.9,12.1,15.2,17.4,23.0,51.9,34.9,80.2,23.4,30.7
8571,ginobma01,Manu Ginobili,2005,27,SG,SAS,8.7,74,2193,29.6,21.9,60.9,5.3,6.1,2.7,3.2,5.4,3.5,8.9,13.1,16.1,18.6,24.3,51.7,37.6,80.3,33.1,56.7
15986,birdla01,Larry Bird,1988,31,SF,BOS,6.0,76,2965,39.0,28.2,60.8,5.8,8.7,2.3,2.6,7.4,1.5,8.9,17.6,19.9,20.2,30.2,54.6,41.4,91.6,14.2,27.1
7851,wadedw01,Dwyane Wade,2006,24,SG,MIA,4.2,75,2892,38.6,27.7,57.7,6.8,5.8,2.8,3.6,6.5,2.4,8.9,17.2,19.0,19.5,32.5,51.3,17.1,78.3,5.4,56.8
2025,paulch01,Chris Paul,2017,31,PG,LAC,4.5,61,1921,31.5,21.5,61.4,11.0,5.9,2.5,2.9,7.5,1.4,8.9,11.4,18.2,19.7,24.4,51.8,41.1,89.2,38.5,33.1
5346,paulch01,Chris Paul,2011,25,PG,NOH,1.0,80,2880,36.0,17.9,57.8,11.0,4.6,2.7,2.5,6.4,2.5,8.9,17.1,17.6,20.1,21.1,48.2,38.8,87.8,19.7,41.4
16723,birdla01,Larry Bird,1986,29,SF,BOS,9.2,82,3113,38.0,24.2,58.0,6.4,9.2,2.5,3.0,6.1,2.6,8.8,18.2,19.0,20.5,27.6,50.6,42.3,89.6,12.1,30.6
13854,stockjo01,John Stockton,1994,31,PG,UTA,4.5,82,2969,36.2,16.1,60.8,13.4,3.4,2.9,3.5,7.4,1.5,8.8,17.5,17.7,20.3,19.1,57.0,32.2,80.5,17.2,38.9
12071,jordami01,Michael Jordan,1997,33,SG,CHI,12.0,82,3106,37.9,31.3,56.7,4.5,6.2,2.4,2.1,7.1,1.7,8.8,18.2,19.1,19.5,33.2,50.7,37.4,83.3,15.7,30.4
3209,davisan02,Anthony Davis,2015,21,PF,NOP,0.9,68,2455,36.1,26.6,59.1,2.4,11.2,4.8,1.5,4.3,4.5,8.8,14.5,19.9,22.2,27.8,54.0,8.3,80.5,1.0,38.4
12919,robinda01,David Robinson,1996,30,C,SAS,6.7,82,3019,36.8,26.2,58.9,3.2,12.8,4.9,2.4,3.6,5.2,8.8,17.6,20.2,23.2,28.8,51.7,33.3,76.1,0.7,59.7
16516,johnsma02,Magic Johnson,1987,27,PG,LAL,9.1,80,2904,36.3,23.3,60.2,11.9,6.2,2.1,3.7,8.2,0.6,8.7,16.9,19.7,20.0,26.3,53.2,20.5,84.8,3.0,48.2
6662,jamesle01,LeBron James,2008,23,SF,CLE,-0.4,75,3027,40.4,29.7,56.8,7.1,7.8,2.9,3.4,7.1,1.5,8.6,17.5,20.6,21.8,33.5,53.1,31.5,71.2,21.9,47.0
1401,paulch01,Chris Paul,2018,32,PG,HOU,8.7,58,1847,31.8,21.6,60.4,9.1,6.3,2.2,2.6,7.6,1.1,8.6,10.6,17.0,17.8,24.5,53.2,38.0,91.9,47.5,27.7
9466,mcgratr01,Tracy McGrady,2003,23,SG,ORL,0.1,75,2954,39.4,31.5,56.4,5.4,6.4,2.4,2.6,8.2,0.2,8.5,16.8,20.2,22.4,35.2,48.1,38.6,79.3,24.7,40.0
14925,johnsma02,Magic Johnson,1991,31,PG,LAL,7.1,79,2933,37.1,20.0,62.3,12.9,7.2,1.6,4.1,8.5,0.0,8.5,16.7,19.9,20.2,22.9,53.2,32.0,90.6,25.6,58.7
16381,jordami01,Michael Jordan,1987,23,SG,CHI,0.9,82,3281,40.0,34.8,56.2,4.3,4.9,4.1,3.1,5.6,2.9,8.4,18.7,19.0,20.5,38.3,49.1,18.2,85.7,2.9,42.7
15090,robinda01,David Robinson,1991,25,C,SAS,4.5,82,3095,37.7,24.8,61.5,2.5,12.5,5.3,3.2,2.8,5.6,8.4,17.5,19.8,23.5,26.6,55.4,14.3,76.2,0.5,56.9
1970,curryst01,Stephen Curry,2017,28,PG,GSW,11.6,79,2638,33.4,27.3,62.4,7.2,4.8,2.2,3.3,8.7,-0.2,8.4,15.6,16.0,17.2,30.1,53.7,41.1,89.8,54.7,25.1
13387,robinda01,David Robinson,1995,29,C,SAS,6.2,81,3074,38.0,27.7,60.2,2.9,10.9,4.9,2.9,3.3,5.0,8.3,17.2,20.3,22.3,29.9,53.3,30.0,77.4,1.3,57.0
2273,leonaka01,Kawhi Leonard,2017,25,SF,SAS,7.6,74,2474,33.4,29.2,61.0,4.0,6.6,2.9,2.4,6.6,1.7,8.3,13.9,18.4,20.3,31.1,52.9,38.0,88.0,29.5,40.6
7534,ginobma01,Manu Ginobili,2007,29,SG,SAS,9.3,75,2060,27.5,24.1,60.9,5.1,6.4,2.6,3.1,5.7,2.6,8.3,11.6,17.0,19.4,27.1,50.5,39.6,86.0,37.8,43.6
2460,jokicni01,Nikola Jokic,2016,20,C,DEN,-3.2,80,1733,21.7,17.3,58.2,4.1,12.2,2.8,2.3,3.6,4.5,8.2,9.7,14.6,16.6,19.9,54.1,33.3,81.1,14.0,31.7
6615,garneke01,Kevin Garnett,2008,31,PF,BOS,11.2,71,2328,32.8,22.7,58.8,4.2,11.1,3.2,2.3,3.0,5.2,8.2,12.9,20.7,22.3,25.5,54.5,0.0,80.1,1.1,33.9
15026,barklch01,Charles Barkley,1991,27,PF,PHI,-0.2,67,2498,37.3,27.8,63.5,4.3,10.2,2.2,3.2,7.5,0.7,8.2,14.0,18.8,22.0,29.1,61.4,28.4,72.2,13.3,56.4
755,curryst01,Stephen Curry,2019,30,PG,GSW,6.4,69,2331,33.8,28.8,64.1,5.5,5.6,1.8,2.9,7.5,0.7,8.2,13.3,15.9,17.2,30.4,52.5,43.7,91.6,60.4,21.4
3605,curryst01,Stephen Curry,2014,25,PG,GSW,5.0,78,2846,36.5,24.6,61.0,8.8,4.4,1.9,3.9,7.6,0.5,8.1,16.1,17.4,18.8,28.3,50.9,42.4,88.5,44.5,25.2
15060,portete01,Terry Porter,1991,27,PG,POR,8.5,81,2665,32.9,18.6,63.2,8.7,3.8,2.3,2.5,6.4,1.6,8.1,14.7,16.4,19.3,19.6,56.4,41.5,82.3,33.2,35.9
10788,onealsh01,Shaquille O'Neal,2000,27,C,LAL,9.1,79,3163,40.0,28.6,57.8,3.6,13.1,3.4,2.7,4.3,3.8,8.1,17.4,21.9,25.6,31.2,57.5,0.0,52.4,0.1,49.5
15839,barklch01,Charles Barkley,1989,25,PF,PHI,1.5,79,3088,39.1,24.1,65.3,3.8,11.7,2.3,3.0,7.6,0.4,8.0,16.9,17.0,20.0,24.4,63.6,21.6,75.3,13.4,66.1
8623,kirilan01,Andrei Kirilenko,2005,23,PF,UTA,-4.8,41,1349,32.9,19.3,59.9,4.0,7.7,6.1,2.7,3.6,4.4,8.0,7.3,16.8,22.1,21.3,53.6,29.9,78.4,18.3,61.7
9824,onealsh01,Shaquille O'Neal,2002,29,C,LAL,7.7,67,2422,36.1,29.4,59.0,3.2,11.5,2.9,2.8,4.5,3.4,8.0,13.2,19.6,22.1,31.8,58.0,0.0,55.5,0.1,58.3
17079,birdla01,Larry Bird,1985,28,SF,BOS,6.5,80,3161,39.5,25.7,58.5,6.0,9.4,2.5,2.8,5.9,2.0,7.9,17.1,19.4,20.2,28.5,52.9,42.7,88.2,7.4,26.0
13498,pippesc01,Scottie Pippen,1994,28,SF,CHI,3.3,72,2759,38.3,22.5,54.4,5.7,8.9,3.8,3.3,3.7,4.2,7.9,15.1,16.8,18.9,27.1,52.2,32.0,66.0,15.4,32.0
12019,blaylmo01,Mookie Blaylock,1997,29,PG,ATL,6.2,78,3056,39.2,18.4,54.8,6.3,5.6,3.1,2.5,4.8,3.1,7.9,16.6,15.1,18.5,21.9,50.5,36.6,75.3,52.1,15.0
12484,stockjo01,John Stockton,1997,34,PG,UTA,9.7,82,2896,35.3,16.3,65.6,11.9,3.1,2.5,3.4,7.0,0.9,7.9,15.7,16.9,18.7,18.4,58.7,42.2,84.6,23.7,42.8
14645,drexlcl01,Clyde Drexler,1992,29,SG,POR,7.3,76,2751,36.2,25.2,56.0,6.8,6.6,2.8,3.2,6.2,1.5,7.8,14.8,16.9,18.4,28.7,51.0,33.7,79.4,22.9,34.2
13069,pippesc01,Scottie Pippen,1995,29,SF,CHI,5.2,79,3014,38.2,22.0,55.9,5.3,8.3,4.2,3.5,3.5,4.2,7.8,16.2,16.8,18.8,26.3,52.3,34.5,71.6,23.9,33.3
18253,johnsma02,Magic Johnson,1982,22,SG,LAL,4.7,78,2991,38.3,16.9,59.0,8.7,8.8,2.8,3.3,5.9,1.9,7.8,16.0,16.8,19.0,20.1,54.6,20.7,76.0,2.8,41.8
7679,jamesle01,LeBron James,2006,21,SF,CLE,2.5,79,3361,42.5,29.6,56.8,6.2,6.6,2.3,3.1,6.9,0.9,7.8,18.1,19.7,20.0,33.6,51.8,33.5,73.8,20.8,44.7
1555,butleji01,Jimmy Butler,2018,28,SG,MIN,2.3,59,2164,36.7,22.7,59.0,5.0,5.4,2.4,1.9,5.5,2.3,7.8,11.5,14.8,16.0,24.9,50.9,35.0,85.4,21.7,46.1
5273,jamesle01,LeBron James,2011,26,SF,MIA,8.2,79,3063,38.8,27.3,59.4,7.2,7.6,2.2,3.7,6.4,1.5,7.8,16.5,20.2,20.2,31.5,55.2,33.0,75.9,18.8,44.6
8046,ginobma01,Manu Ginobili,2006,28,SG,SAS,7.7,65,1813,27.9,22.0,59.3,5.3,5.2,2.8,2.7,5.3,2.5,7.8,9.8,15.2,17.9,25.0,50.0,38.2,77.8,32.4,53.8
5490,ginobma01,Manu Ginobili,2011,33,SG,SAS,6.2,80,2426,30.3,22.4,58.1,6.3,4.7,2.4,2.8,6.2,1.7,7.8,13.1,14.3,15.3,26.0,49.7,34.9,87.1,43.3,40.3
14040,olajuha01,Hakeem Olajuwon,1993,30,C,HOU,4.5,82,3242,39.5,25.2,57.7,3.4,12.6,5.8,3.1,1.9,5.8,7.7,17.1,19.1,20.8,28.8,53.2,0.0,77.9,0.5,35.6
3049,hardeja01,James Harden,2015,25,SG,HOU,3.5,81,2981,36.8,27.7,60.5,7.1,5.7,2.7,4.0,7.7,0.1,7.7,16.1,18.8,19.0,31.3,48.0,37.5,86.8,37.8,56.1
4347,duranke01,Kevin Durant,2013,24,SF,OKC,9.8,81,3119,38.5,28.2,64.7,4.6,7.9,2.7,3.5,6.7,1.0,7.7,16.6,20.6,20.4,29.8,53.9,41.6,90.5,23.3,52.3
249,jamesle01,LeBron James,2020,35,PG,LAL,7.3,60,2094,34.9,26.3,58.2,10.8,8.1,1.8,4.1,6.7,1.0,7.7,11.2,20.1,19.0,31.6,57.0,34.9,69.7,32.4,29.2
11008,stockjo01,John Stockton,2000,37,PG,UTA,5.0,82,2432,29.7,16.3,59.1,11.6,3.6,2.6,3.0,6.4,1.3,7.7,13.0,17.3,20.0,19.3,53.0,35.5,86.0,16.7,35.4
11433,robinda01,David Robinson,1999,33,C,SAS,9.0,49,1554,31.7,20.3,56.4,2.7,12.9,4.9,2.8,1.2,6.4,7.6,8.2,18.1,22.0,23.8,51.0,0.0,65.8,0.2,68.9
8403,garneke01,Kevin Garnett,2005,28,PF,MIN,1.6,82,3121,38.1,23.5,56.7,6.0,14.3,3.0,2.9,4.6,3.0,7.6,16.3,21.6,22.3,27.1,50.7,24.0,81.1,1.8,40.4
9422,kiddja01,Jason Kidd,2003,29,PG,NJN,5.7,80,2989,37.4,19.7,52.6,9.4,6.6,2.7,3.9,4.6,2.9,7.6,15.7,18.2,19.5,25.9,44.5,34.1,84.1,29.7,32.4
12831,hardaan01,Anfernee Hardaway,1996,24,PG,ORL,6.0,82,3015,36.8,23.2,60.5,7.6,4.6,2.7,3.0,6.5,1.1,7.6,15.8,16.4,18.0,25.5,57.3,31.4,76.7,23.3,47.7
