,playerID,year,score,player_seasonID,bioID,useFirst,lastName,pos,height,weight
1219,schaydo01,1955,2.0,schaydo011955,schaydo01,Dolph,Schayes,F-C,79.0,195.0
1220,schaydo01,1956,3.0,schaydo011956,schaydo01,Dolph,Schayes,F-C,79.0,195.0
1221,schaydo01,1957,3.0,schaydo011957,schaydo01,Dolph,Schayes,F-C,79.0,195.0
1222,schaydo01,1958,2.0,schaydo011958,schaydo01,Dolph,Schayes,F-C,79.0,195.0
1223,schaydo01,1959,2.0,schaydo011959,schaydo01,Dolph,Schayes,F-C,79.0,195.0
1224,schaydo01,1960,2.0,schaydo011960,schaydo01,Dolph,Schayes,F-C,79.0,195.0
1225,schrede01,1990,0.0,schrede011990,schrede01,Detlef,Schrempf,F-C,81.0,214.0
1226,schrede01,1991,0.0,schrede011991,schrede01,Detlef,Schrempf,F-C,81.0,214.0
1227,schrede01,1994,1.0,schrede011994,schrede01,Detlef,Schrempf,F-C,81.0,214.0
1228,scolafr01,1946,2.0,scolafr011946,scolafr01,Fred,Scolari,G,70.0,175.0
1229,scolafr01,1947,2.0,scolafr011947,scolafr01,Fred,Scolari,G,70.0,175.0
1230,scolalu01,2007,0.0,scolalu012007,scolalu01,Luis,Scola Balvoa,F,81.0,245.0
1231,scottch01,1970,0.0,scottch011970,scottch01,Charlie,Scott,G-F,77.0,175.0
1232,scottch01,1971,0.0,scottch011971,scottch01,Charlie,Scott,G-F,77.0,175.0
1233,sefolth01,2009,1.0,sefolth012009,sefolth01,Thabo,Sefolosha,G,77.0,215.0
1234,seikaro01,1989,0.0,seikaro011989,seikaro01,Rony,Seikaly,C,83.0,230.0
1235,seymopa01,1953,2.0,seymopa011953,seymopa01,Paul,Seymour,G-F,73.0,180.0
1236,seymopa01,1954,2.0,seymopa011954,seymopa01,Paul,Seymour,G-F,73.0,180.0
1237,sharmbi01,1952,2.0,sharmbi011952,sharmbi01,Bill,Sharman,G,73.0,175.0
1238,sharmbi01,1954,2.0,sharmbi011954,sharmbi01,Bill,Sharman,G,73.0,175.0
1239,sharmbi01,1955,3.0,sharmbi011955,sharmbi01,Bill,Sharman,G,73.0,175.0
1240,sharmbi01,1956,3.0,sharmbi011956,sharmbi01,Bill,Sharman,G,73.0,175.0
1241,sharmbi01,1957,3.0,sharmbi011957,sharmbi01,Bill,Sharman,G,73.0,175.0
1242,sharmbi01,1958,3.0,sharmbi011958,sharmbi01,Bill,Sharman,G,73.0,175.0
1243,sharmbi01,1959,2.0,sharmbi011959,sharmbi01,Bill,Sharman,G,73.0,175.0
1244,sheltlo01,1981,1.0,sheltlo011981,sheltlo01,Lonnie,Shelton,F-C,80.0,240.0
1245,shuege01,1959,3.0,shuege011959,shuege01,Gene,Shue,G,74.0,170.0
1246,shuege01,1960,2.0,shuege011960,shuege01,Gene,Shue,G,74.0,170.0
1247,shumpim01,2011,0.0,shumpim012011,shumpim01,Iman,Shumpert,G,77.0,220.0
1248,sikmaja01,1981,1.0,sikmaja011981,sikmaja01,Jack,Sikma,C-F,83.0,230.0
1249,silasja01,1974,0.0,silasja011974,silasja01,James,Silas,G,73.0,180.0
1250,silasja01,1975,0.0,silasja011975,silasja01,James,Silas,G,73.0,180.0
1251,silaspa01,1970,1.0,silaspa011970,silaspa01,Paul,Silas,F-C,79.0,215.0
1252,silaspa01,1971,1.0,silaspa011971,silaspa01,Paul,Silas,F-C,79.0,215.0
1253,silaspa01,1972,1.0,silaspa011972,silaspa01,Paul,Silas,F-C,79.0,215.0
1254,silaspa01,1974,2.0,silaspa011974,silaspa01,Paul,Silas,F-C,79.0,215.0
1255,silaspa01,1975,2.0,silaspa011975,silaspa01,Paul,Silas,F-C,79.0,215.0
1256,simmobo01,2004,0.0,simmobo012004,simmobo01,Bobby,Simmons,G-F,78.0,210.0
1257,simpsra01,1971,0.0,simpsra011971,simpsra01,Ralph,Simpson,G-F,77.0,200.0
1258,simpsra01,1972,0.0,simpsra011972,simpsra01,Ralph,Simpson,G-F,77.0,200.0
1259,simpsra01,1975,0.0,simpsra011975,simpsra01,Ralph,Simpson,G-F,77.0,200.0
1260,skilesc01,1990,0.0,skilesc011990,skilesc01,Scott,Skiles,G,73.0,180.0
1261,sloanje01,1968,2.0,sloanje011968,sloanje01,Jerry,Sloan,G-F,77.0,195.0
1262,sloanje01,1969,1.0,sloanje011969,sloanje01,Jerry,Sloan,G-F,77.0,195.0
1263,sloanje01,1970,1.0,sloanje011970,sloanje01,Jerry,Sloan,G-F,77.0,195.0
1264,sloanje01,1971,2.0,sloanje011971,sloanje01,Jerry,Sloan,G-F,77.0,195.0
1265,sloanje01,1973,2.0,sloanje011973,sloanje01,Jerry,Sloan,G-F,77.0,195.0
1266,sloanje01,1974,2.0,sloanje011974,sloanje01,Jerry,Sloan,G-F,77.0,195.0
1267,smithjo03,2009,1.0,smithjo032009,smithjo03,Josh,Smith,F,81.0,210.0
1268,smithph01,1975,3.0,smithph011975,smithph01,Phil,Smith,G,76.0,185.0
1269,smithra01,1975,2.0,smithra011975,smithra01,Randy,Smith,G-F,75.0,160.0
1270,snower01,2002,1.0,snower012002,snower01,Eric,Snow,G,75.0,190.0
1271,sprewla01,1993,4.0,sprewla011993,sprewla01,Latrell,Sprewell,G,77.0,190.0
1272,starkjo01,1992,1.0,starkjo011992,starkjo01,John,Starks,G,75.0,180.0
1273,starkjo01,1996,0.0,starkjo011996,starkjo01,John,Starks,G,75.0,180.0
1274,stephbe01,1939,0.0,stephbe011939,stephbe01,,Stephens,G-F,72.0,175.0
1275,stephbe01,1940,5.0,stephbe011940,stephbe01,,Stephens,G-F,72.0,175.0
1276,stockjo01,1987,2.0,stockjo011987,stockjo01,John,Stockton,G,73.0,170.0
1277,stockjo01,1988,3.0,stockjo011988,stockjo01,John,Stockton,G,73.0,170.0
1278,stockjo01,1989,2.0,stockjo011989,stockjo01,John,Stockton,G,73.0,170.0
1279,stockjo01,1990,2.0,stockjo011990,stockjo01,John,Stockton,G,73.0,170.0
1280,stockjo01,1991,3.0,stockjo011991,stockjo01,John,Stockton,G,73.0,170.0
1281,stockjo01,1992,2.0,stockjo011992,stockjo01,John,Stockton,G,73.0,170.0
1282,stockjo01,1993,3.0,stockjo011993,stockjo01,John,Stockton,G,73.0,170.0
1283,stockjo01,1994,4.0,stockjo011994,stockjo01,John,Stockton,G,73.0,170.0
1284,stockjo01,1995,2.0,stockjo011995,stockjo01,John,Stockton,G,73.0,170.0
1285,stockjo01,1996,2.0,stockjo011996,stockjo01,John,Stockton,G,73.0,170.0
1286,stockjo01,1998,1.0,stockjo011998,stockjo01,John,Stockton,G,73.0,170.0
1287,stojape01,2003,2.0,stojape012003,stojape01,Peja,Stojakovic,F-G,81.0,220.0
1288,stokema01,1955,2.0,stokema011955,stokema01,Maurice,Stokes,F-C,79.0,232.0
1289,stokema01,1956,2.0,stokema011956,stokema01,Maurice,Stokes,F-C,79.0,232.0
1290,stokema01,1957,2.0,stokema011957,stokema01,Maurice,Stokes,F-C,79.0,232.0
1291,stoudam01,2002,0.0,stoudam012002,stoudam01,Amare,Stoudemire,F-C,82.0,245.0
1292,stoudam01,2004,2.0,stoudam012004,stoudam01,Amare,Stoudemire,F-C,82.0,245.0
1293,stoudam01,2006,3.0,stoudam012006,stoudam01,Amare,Stoudemire,F-C,82.0,245.0
1294,stoudam01,2007,2.0,stoudam012007,stoudam01,Amare,Stoudemire,F-C,82.0,245.0
1295,stoudam01,2009,2.0,stoudam012009,stoudam01,Amare,Stoudemire,F-C,82.0,245.0
1296,stoudam01,2010,2.0,stoudam012010,stoudam01,Amare,Stoudemire,F-C,82.0,245.0
1297,stoudda01,1995,0.0,stoudda011995,stoudda01,Damon,Stoudamire,G,70.0,171.0
1298,stricro02,1997,2.0,stricro021997,stricro02,Rod,Strickland,G,75.0,175.0
1299,stuckro01,2007,0.0,stuckro012007,stuckro01,Rodney,Stuckey,G,77.0,205.0
1300,tarplro01,1987,0.0,tarplro011987,tarplro01,Roy,Tarpley,C-F,83.0,230.0
1301,taylobr01,1972,0.0,taylobr011972,taylobr01,Brian,Taylor,G,74.0,185.0
1302,taylobr01,1974,0.0,taylobr011974,taylobr01,Brian,Taylor,G,74.0,185.0
1303,taylobr01,1975,0.0,taylobr011975,taylobr01,Brian,Taylor,G,74.0,185.0
1304,taylobr01,1976,1.0,taylobr011976,taylobr01,Brian,Taylor,G,74.0,185.0
1305,taylofa01,1972,0.0,taylofa011972,taylofa01,Fatty,Taylor,G,72.0,175.0
