,playerID,year,score,player_seasonID
0,abdulka01,1969,3.0,abdulka011969
1,abdulka01,1970,12.0,abdulka011970
2,abdulka01,1971,8.0,abdulka011971
3,abdulka01,1972,3.0,abdulka011972
4,abdulka01,1973,10.0,abdulka011973
5,abdulka01,1974,2.0,abdulka011974
6,abdulka01,1975,9.0,abdulka011975
7,abdulka01,1976,9.0,abdulka011976
8,abdulka01,1977,3.0,abdulka011977
9,abdulka01,1978,4.0,abdulka011978
10,abdulka01,1979,10.0,abdulka011979
11,abdulka01,1980,5.0,abdulka011980
12,abdulka01,1982,2.0,abdulka011982
13,abdulka01,1983,4.0,abdulka011983
14,abdulka01,1984,5.0,abdulka011984
15,abdulka01,1985,3.0,abdulka011985
16,abdulma02,1992,0.0,abdulma021992
17,adamsal01,1975,0.0,adamsal011975
18,aingeda01,2007,0.0,aingeda012007
19,aldrila01,2010,1.0,aldrila012010
20,aldrila01,2013,1.0,aldrila012013
21,aldrila01,2014,2.0,aldrila012014
22,aldrila01,2015,1.0,aldrila012015
23,aldrila01,2017,2.0,aldrila012017
24,allenra02,2000,1.0,allenra022000
25,allenra02,2004,2.0,allenra022004
26,allento01,2010,1.0,allento012010
27,allento01,2011,2.0,allento012011
28,allento01,2012,2.0,allento012012
29,allento01,2014,2.0,allento012014
30,allento01,2015,1.0,allento012015
31,allento01,2016,1.0,allento012016
32,anderry01,2011,0.0,anderry012011
33,antetgi01,2016,3.0,antetgi012016
34,antetgi01,2017,2.0,antetgi012017
35,antetgi01,2018,10.0,antetgi012018
36,anthoca01,2005,1.0,anthoca012005
37,anthoca01,2006,1.0,anthoca012006
38,anthoca01,2008,1.0,anthoca012008
39,anthoca01,2009,2.0,anthoca012009
40,anthoca01,2011,1.0,anthoca012011
41,anthoca01,2012,2.0,anthoca012012
42,archina01,1971,2.0,archina011971
43,archina01,1972,3.0,archina011972
44,archina01,1974,3.0,archina011974
45,archina01,1975,3.0,archina011975
46,archina01,1980,2.0,archina011980
47,arenagi01,2002,0.0,arenagi012002
48,arenagi01,2004,1.0,arenagi012004
49,arenagi01,2005,1.0,arenagi012005
50,arenagi01,2006,2.0,arenagi012006
51,arizipa01,1951,3.0,arizipa011951
52,arizipa01,1955,3.0,arizipa011955
53,arizipa01,1956,3.0,arizipa011956
54,arizipa01,1958,2.0,arizipa011958
55,armstda01,1998,0.0,armstda011998
56,artesro01,2002,1.0,artesro012002
57,artesro01,2003,6.0,artesro012003
58,artesro01,2005,2.0,artesro012005
59,artesro01,2008,1.0,artesro012008
60,artesro01,2010,0.0,artesro012010
61,augusdj01,2008,0.0,augusdj012008
